,condition_0,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9
715093703,a,a,,a,,a,,,,
719161530,,,,,,,,b,,
721123822,,,,a,,,,,,
732592105,,,,a,,,,,,a
739448407,,,a,,,,,,,
742951821,b,,b,,b,,,b,b,
743475441,,,b,,,,,,,
744228101,,,,,a,a,,a,,
746083955,,b,,b,,,,,a,
750332458,a,,,,,,,,b,
750749662,,a,,a,,b,a,,,b
751348571,,,a,,,b,a,a,,
754829445,,a,,,,a,,,b,
755434585,a,,,,,a,,,a,a
756029989,,,,b,,,,a,b,
757216464,,a,,,,,,,a,b
757970808,,b,,,a,,a,,,
758798717,a,,,,b,,,,,a
759883607,b,,,,a,,,,,
760345702,,,,,b,,,,,a
760693773,,,,,,,b,b,,b
761418226,,,a,,,,b,,,
762120172,,,,,a,,,a,,
762602078,,,,b,b,b,b,,,
763673393,b,b,,,,,b,,,
773418906,,,,,,,a,,,
791319847,,,,b,,,,,,
797828357,,,a,,,,,b,,b
798911424,b,,b,,,,,,,
799864342,,b,b,,,b,,,a,
